20001012,1357.11,1366.21,1317.71,1322.71,108483,410398
20001013,1324.21,1365.41,1317.71,1363.71,92452,412643
20001016,1363.21,1372.21,1356.71,1369.71,62191,410603
20001017,1368.91,1373.71,1333.31,1338.01,77590,410409
20001018,1340.31,1349.21,1303.01,1331.01,90142,411906
20001019,1335.61,1381.71,1334.21,1379.31,72849,409280
20001020,1380.21,1400.21,1373.11,1389.21,60769,407486
20001023,1389.21,1398.01,1377.71,1395.41,55198,405295
20001024,1392.71,1406.71,1377.21,1381.21,68821,407526
20001025,1382.31,1383.31,1348.71,1352.21,78899,410578
20001026,1352.71,1362.41,1326.81,1349.51,87263,410293
20001027,1348.11,1380.21,1346.21,1379.21,65278,409513
20001030,1376.11,1397.21,1366.71,1389.41,73699,416321
20001031,1391.71,1423.21,1386.21,1418.41,73552,417296
20001101,1419.21,1419.21,1397.71,1410.21,73933,420270
20001102,1410.61,1422.71,1408.21,1413.21,59724,422246
20001103,1413.51,1422.21,1408.71,1414.41,50383,423249
20001106,1414.21,1427.21,1414.21,1424.71,37159,421421
20001107,1423.21,1423.91,1410.21,1422.21,40361,418092
20001108,1421.91,1433.01,1389.71,1391.51,60733,416506
20001109,1392.51,1395.71,1356.51,1381.51,90129,419597
20001110,1382.71,1385.91,1348.71,1350.71,71677,417795
20001113,1346.71,1351.21,1313.21,1337.01,93323,422380
20001114,1337.31,1377.21,1336.51,1372.71,77394,422833
20001115,1372.51,1382.21,1359.71,1375.71,65858,422184
20001116,1375.21,1381.21,1355.21,1357.51,65129,421900
20001117,1357.01,1371.21,1338.31,1348.71,70731,422394
20001120,1347.71,1352.21,1323.21,1325.21,64026,422668
20001121,1327.51,1340.71,1315.21,1333.91,58714,419348
20001122,1334.21,1339.91,1300.71,1301.21,75794,413110
20001124,1301.21,1327.21,1299.21,1324.81,28519,414159
20001127,1326.81,1345.21,1326.81,1337.01,77740,411567
20001128,1336.41,1342.21,1315.81,1316.71,100498,401835
20001129,1321.21,1335.21,1311.21,1313.51,92403,395634
20001130,1308.21,1311.21,1275.21,1299.71,145755,375733
20001201,1299.91,1316.21,1288.21,1298.71,93299,362822
20001204,1301.71,1314.71,1291.31,1308.71,96101,359996
20001205,1308.71,1360.21,1305.31,1352.41,135205,331888
20001206,1350.31,1357.21,1326.21,1332.21,137839,284345
20001207,1332.61,1340.01,1312.21,1314.91,88411,239471
20001208,1343.21,1363.21,1303.21,1315.91,59479,213143
20001211,1344.21,1370.21,1338.21,1360.71,105624,343443
20001212,1358.21,1360.01,1348.71,1357.01,91273,381633
20001213,1356.71,1367.21,1334.71,1335.51,116317,421228
20001214,1335.51,1341.51,1313.71,1315.71,99451,443292
20001215,1309.71,1316.21,1281.21,1283.71,78095,446755
20001218,1287.71,1309.71,1287.21,1304.21,56174,448238
20001219,1305.01,1324.21,1274.71,1275.71,76089,454211
20001220,1276.31,1283.31,1234.21,1237.31,79475,458295
20001221,1238.41,1261.71,1227.71,1245.71,78707,462292
20001222,1247.41,1285.21,1247.41,1284.41,49108,460618
20001226,1281.11,1295.51,1277.31,1294.61,32553,460410
20001227,1294.81,1309.71,1285.71,1308.21,40558,465388
20001228,1308.11,1312.21,1299.71,1310.91,33005,468544
20001229,1310.51,1314.31,1283.71,1292.71,41400,468341
20010102,1289.21,1294.81,1246.71,1257.51,82087,467704
20010103,1258.51,1327.71,1246.71,1316.91,111212,471879
20010104,1318.01,1322.71,1299.31,1306.01,96186,470744
20010105,1303.21,1319.21,1261.71,1262.21,91359,474904
20010108,1265.21,1270.21,1245.21,1267.21,76350,476537
20010109,1270.21,1283.21,1261.21,1267.21,75022,475111
20010110,1267.21,1286.61,1254.71,1284.71,82176,476222
20010111,1283.21,1301.21,1277.01,1292.21,73109,465269
20010112,1289.81,1302.71,1279.71,1288.01,71938,468147
20010116,1285.61,1297.21,1281.71,1293.21,57190,465367
20010117,1295.41,1315.71,1292.71,1299.41,75793,461036
20010118,1301.21,1321.71,1294.81,1313.71,78152,460180
20010119,1318.11,1329.51,1303.21,1306.21,72179,455142
20010122,1303.91,1321.91,1298.71,1316.21,65624,459062
20010123,1314.71,1330.71,1306.21,1323.71,66199,457836
20010124,1323.81,1336.71,1323.51,1327.91,62834,455310
20010125,1327.41,1334.71,1320.71,1322.21,56671,455234
20010126,1322.31,1324.21,1308.21,1321.01,50960,453975
20010129,1320.71,1331.71,1316.71,1327.71,45428,451393
20010130,1327.71,1341.71,1321.71,1339.71,53112,449971
20010131,1338.41,1347.71,1328.71,1330.61,67354,451164
20010201,1330.71,1341.21,1324.21,1340.21,60827,452462
20010202,1340.11,1342.71,1309.81,1311.01,64287,452638
20010205,1312.01,1320.61,1308.91,1319.71,49133,451439
20010206,1320.51,1327.71,1313.71,1314.01,49408,451101
20010207,1312.11,1314.21,1297.71,1307.21,65552,453206
20010208,1306.41,1314.21,1291.71,1292.71,66218,454578
20010209,1294.01,1296.41,1272.71,1279.21,63919,452455
20010212,1279.21,1296.21,1277.21,1291.21,61008,451638
20010213,1292.21,1299.71,1279.71,1283.81,70224,453076
20010214,1284.01,1284.71,1266.21,1277.51,75320,449210
20010215,1277.71,1293.61,1276.01,1290.81,68514,440620
20010216,1287.41,1287.71,1254.21,1263.21,82601,428594
20010220,1260.01,1269.21,1239.71,1243.01,76150,426715
20010221,1243.71,1246.31,1212.71,1214.21,95305,416906
20010222,1215.81,1222.21,1187.71,1215.21,109801,410200
20010223,1215.41,1219.71,1174.71,1205.21,120217,390707
20010226,1208.31,1232.01,1201.71,1231.31,85677,380758
20010227,1230.71,1234.71,1212.21,1221.81,93205,371368
20010228,1221.11,1226.21,1188.71,1199.71,113645,359566
20010301,1197.21,1201.71,1173.71,1201.21,117904,344907
20010302,1200.71,1211.71,1178.71,1192.91,96327,332971
20010305,1194.21,1202.21,1192.21,1201.41,69154,321780
20010306,1201.11,1227.71,1200.21,1214.71,96113,298501
20010307,1214.71,1224.71,1212.51,1222.91,100633,270115
20010308,1224.71,1227.11,1215.71,1223.91,78207,230205
20010309,1211.71,1212.71,1184.71,1188.81,66699,198638
20010312,1189.51,1191.81,1131.81,1136.81,149943,386995
20010313,1137.51,1157.21,1129.31,1154.81,140752,419981
20010314,1155.71,1156.71,1110.81,1126.11,153110,455531
20010315,1126.11,1139.81,1119.81,1130.01,100279,465768
20010316,1132.81,1138.11,1103.81,1107.11,95191,464007
20010319,1109.31,1130.81,1103.11,1125.81,62057,465156
20010320,1126.11,1137.31,1096.31,1097.81,92299,463259
20010321,1098.31,1106.81,1072.31,1077.31,99405,467595
20010322,1078.31,1082.21,1033.81,1064.81,130178,465230
20010323,1067.31,1100.31,1066.11,1098.81,91999,459675
20010326,1098.41,1115.81,1095.91,1112.41,66031,459610
20010327,1111.71,1139.81,1106.31,1135.31,85402,461864
20010328,1135.31,1135.31,1101.31,1104.81,80967,459209
20010329,1106.31,1117.31,1089.31,1106.81,79995,460025
20010330,1106.61,1122.31,1097.31,1114.51,89539,460625
20010402,1118.31,1124.31,1090.81,1095.61,83315,454997
