,date,price,note,status,data_index,instru,unit
126,20010423,0.62985,exit,short,252,4,0
127,20010427,32.846999999999994,entry,short,226,20,0
128,20010503,777.5,entry,long,230,24,0
129,20010514,1.01355,entry,short,238,7,0
130,20010514,29.60935,entry,short,238,33,0
131,20010516,-52.75,exit,short,253,28,0
132,20010517,0.3862,exit,long,264,25,0
133,20010523,20.245,entry,long,244,29,0
134,20010530,144.5,entry,long,250,17,0
135,20010530,129.525,entry,long,250,10,0
136,20010601,761.0,exit,long,267,24,0
137,20010604,45.94,exit,short,274,1,0
138,20010613,32.5078,exit,short,267,33,0
139,20010614,127.125,entry,short,261,22,0
140,20010614,14525.0,entry,short,261,21,0
141,20010615,2.38025,entry,long,260,15,0
142,20010621,141.61,entry,short,264,5,0
143,20010622,1.1193,entry,short,266,16,0
144,20010622,1.2502,exit,short,304,2,0
145,20010625,62.125,entry,long,267,12,0
146,20010625,1069.9,entry,short,266,31,0
147,20010625,2.28525,exit,long,266,15,0
148,20010626,249.85000000000002,entry,long,269,18,0
149,20010627,15.010000000000002,entry,short,270,26,0
150,20010628,0.642,entry,long,270,4,0
151,20010702,60.63290000000001,exit,long,372,12,0
152,20010702,710.0,entry,short,271,24,0
153,20010702,0.066,entry,short,272,19,0
154,20010702,132.0,exit,short,276,22,0
155,20010705,19.845,exit,long,289,29,0
156,20010706,128.05,exit,long,301,10,0
157,20010706,527.5,exit,short,279,3,0
158,20010706,4.5,entry,long,276,28,0
159,20010709,1127.1100000000001,entry,short,277,32,0
160,20010709,143.685,exit,short,318,5,0
161,20010711,142.8,exit,long,296,17,0
162,20010712,2.24415,entry,short,278,15,0
163,20010712,0.122,entry,short,279,0,0
164,20010716,0.63455,exit,long,307,4,0
165,20010716,48.84,entry,long,282,1,0
166,20010718,0.8486,exit,short,284,30,0
167,20010719,1.01675,exit,short,294,7,0
168,20010720,0.2085,entry,short,284,25,0
169,20010720,0.0705,exit,short,299,19,0
170,20010723,5.5,exit,long,328,28,0
171,20010723,48.0,exit,long,333,1,0
172,20010725,34.789100000000005,entry,long,288,33,0
173,20010726,166.125,entry,long,290,22,0
174,20010731,590.75,entry,short,291,13,0
175,20010803,150.125,exit,long,469,22,0
176,20010803,18.994999999999997,entry,short,294,29,0
177,20010803,14007.5,exit,short,374,21,0
178,20010810,1.1341999999999999,exit,short,315,16,0
179,20010813,2.2872,exit,short,318,15,0
180,20010815,0.32899999999999996,exit,short,318,25,0
181,20010815,603.2,exit,short,305,13,0
182,20010816,0.14965,exit,short,306,0,0
183,20010820,0.877,entry,long,306,30,0
184,20010820,605.3,entry,long,305,13,0
185,20010822,0.6286,entry,short,308,4,0
186,20010822,247.8,exit,long,314,18,0
187,20010823,0.1035,entry,long,309,19,0
188,20010828,125.7875,entry,short,313,10,0
189,20010829,1.292,entry,long,313,2,0
190,20010831,121.433,entry,short,322,8,0
191,20010831,1.0600999999999998,entry,long,315,7,0
192,20010905,0.8603500000000001,exit,long,392,30,0
193,20010905,0.097,exit,long,329,19,0
194,20010905,128.625,exit,short,394,10,0
195,20010907,141.52499999999998,entry,short,320,17,0
196,20010917,0.39644999999999997,entry,long,321,25,0
197,20010917,1365.25,entry,short,325,34,0
198,20010918,1074.5,exit,short,322,31,0
199,20010918,643.0,exit,short,378,24,0
200,20010919,525.625,entry,short,327,3,0
201,20010919,0.11165,entry,short,326,0,0
202,20010921,0.3095,exit,long,327,25,0
203,20010921,34.789100000000005,exit,long,380,33,0
204,20010925,0.1753,entry,short,327,25,0
205,20010925,2.1553,entry,short,327,15,0
206,20010925,138.25,entry,short,327,5,0
207,20011003,45.32,entry,short,336,1,0
208,20011003,998.86,exit,short,366,32,0
209,20011008,138.0,exit,short,414,17,0
210,20011009,0.1259,exit,short,373,0,0
211,20011012,1.2894,exit,long,368,2,0
212,20011012,122.72800000000001,exit,short,371,8,0
