,date,price,note,instru,left_equity,unit
60,20040511,50.57815,Exit,6,-5616748.175,0
61,20040517,1.1456,Exit,0,-3861975.375,0
62,20040607,20.28,Entry,7,-5078775.375,60000
63,20040616,1.1877499999999999,Entry,0,-6220500.0625,961250
64,20040708,56.35155,Entry,6,-6868542.8875,11500
65,20040809,94.2075,Entry,2,-21541361.0125,155750
66,20040811,1.16905,Exit,0,-20417611.7,0
67,20040820,1.1871,Entry,0,-22265332.849999998,1556500
68,20040920,332.125,Exit,8,-22016239.099999998,0
69,20040928,1.1653,Exit,0,-20202449.65,0
70,20041008,93.8275,Exit,2,-5588816.5249999985,0
71,20041013,94.0475,Entry,2,-20189690.9,155250
72,20041020,1.19165,Entry,0,-22283717.862499997,1757250
73,20041108,93.68,Exit,2,-7739897.862499995,0
74,20050303,406.125,Entry,8,-8044491.612499995,750
75,20050328,19.915,Exit,7,-6849591.612499995,0
76,20050407,1.1764000000000001,Exit,0,-4782362.712499995,0
77,20050427,64.445,Entry,3,-5330145.212499995,8500
78,20050505,1.21275,Entry,0,-7362714.212499995,1676000
79,20050517,1.18635,Exit,0,-5374391.612499995,0
80,20050518,58.7,Exit,3,-4875441.612499995,0
81,20050601,711.9,Exit,1,-3273666.612499995,0
82,20050610,722.4000000000001,Entry,1,-5440866.612499995,3000
83,20050617,157.0875,Exit,10,-3791447.862499995,0
84,20050705,20.395,Entry,7,-5321072.862499995,75000
85,20050706,1.75065,Exit,5,-3840898.287499995,0
86,20050727,716.9000000000001,Exit,1,-1690198.2874999945,0
87,20050729,723.45,Entry,1,-3860548.2874999945,3000
88,20050830,357.125,Exit,8,-3592704.5374999945,0
89,20050906,1.8453,Entry,5,-5041726.362499994,785250
90,20050922,161.325,Entry,10,-7058288.862499994,12500
91,20050928,1.7651,Exit,5,-5672244.087499995,0
92,20051104,62.83595,Exit,6,-4949630.662499995,0
93,20051219,66.08595,Entry,6,-5907876.937499994,14500
94,20051223,174.065,Exit,4,-4819970.687499994,0
95,20060104,179.435,Entry,4,-6300309.437499994,8250
96,20060223,159.7375,Exit,10,-4303590.687499994,0
97,20060307,62.7656,Exit,6,-3393489.487499994,0
98,20060313,174.27,Exit,4,-1955761.9874999942,0
99,20060320,176.935,Entry,4,-3415475.737499994,8250
100,20060321,174.28500000000003,Exit,4,-1977624.487499994,0
101,20060330,179.515,Entry,4,-3593259.4874999938,9000
102,20060501,1.8308,Entry,5,-5525668.887499994,1055500
103,20060706,162.0,Entry,10,-7429168.887499994,11750
104,20060726,157.575,Exit,10,-5577662.637499994,0
105,20060727,159.16250000000002,Entry,10,-7248868.887499994,10500
106,20060811,23.305,Exit,7,-5500993.887499994,0
107,20060901,175.64,Exit,4,-3920233.8874999937,0
108,20060914,63.3594,Entry,6,-5266621.137499994,21250
109,20061018,1300.9,Exit,9,-4290946.137499994,0
110,20061018,158.2,Exit,10,-2629846.1374999937,0
111,20061107,1407.9,Entry,9,-3333796.1374999937,500
112,20061109,342.5,Entry,8,-3676296.1374999937,1000
113,20070108,1318.65,Exit,9,-3016971.1374999937,0
114,20070111,1360.15,Entry,9,-3697046.1374999937,500
115,20070111,161.5,Entry,10,-5433171.137499994,10750
116,20070125,158.3625,Exit,10,-3730774.2624999937,0
117,20070129,61.625,Exit,6,-2421243.0124999937,0
118,20070206,161.125,Entry,10,-4274180.512499994,11500
119,20070227,65.8125,Entry,6,-5573977.387499994,19750
120,20070416,62.4922,Exit,6,-4339756.4374999935,0
121,20070424,64.26565,Entry,6,-5737534.324999994,21750
122,20070521,62.1563,Exit,6,-4385634.799999993,0
123,20070614,159.0125,Exit,10,-2556991.0499999933,0
124,20070620,160.95,Entry,10,-4729816.049999993,13500
125,20070621,159.6875,Exit,10,-2574034.7999999933,0
126,20070712,162.7,Entry,10,-4689134.799999993,13000
127,20070713,46.855000000000004,Entry,3,-5181112.299999993,10500
128,20070726,168.515,Entry,4,-6655618.549999993,8750
129,20070815,39.275000000000006,Exit,3,-6243231.049999993,0
130,20070816,92.58500000000001,Entry,2,-16242411.049999993,108000
131,20070820,162.82,Exit,4,-14817736.049999993,0
132,20070830,64.35155,Entry,6,-15702569.862499993,13750
133,20070906,168.755,Entry,4,-17052609.862499993,8000
134,20070925,45.33,Entry,3,-17471912.362499993,9250
135,20071004,158.4,Exit,10,-15412712.362499993,0
136,20071113,1.06905,Entry,0,-17287024.274999995,1753250
137,20071126,39.72,Exit,3,-16919614.274999995,0
138,20080109,44.11,Entry,3,-17823869.274999995,20500
139,20080115,19.84,Entry,7,-19148189.274999995,66750
140,20080122,1.9497499999999999,Exit,5,-17090228.149999995,0
141,20080131,1.9955500000000002,Entry,5,-19310277.524999995,1112500
142,20080204,1.96865,Exit,5,-17120154.399999995,0
143,20080306,2.0113000000000003,Entry,5,-20155206.099999994,1509000
144,20080502,18.505000000000003,Exit,7,-18919997.349999994,0
145,20080506,39.41,Exit,3,-18112092.349999994,0
146,20080516,1.9706,Exit,5,-15138456.949999994,0
147,20080523,2.0081499999999997,Entry,5,-17473935.399999995,1163000
148,20080716,20.05,Entry,7,-18280947.899999995,40250
149,20080721,18.585,Exit,7,-17532901.649999995,0
150,20080731,1.0615999999999999,Exit,0,-15671651.449999996,0
151,20080807,20.54,Entry,7,-16190286.449999996,25250
152,20080812,1665.5,Exit,9,-15357536.449999996,0
153,20080814,1.9044,Exit,5,-13142719.249999996,0
154,20080821,1002.3,Exit,1,-10135819.249999996,0
155,20080909,18.41,Exit,7,-9670966.749999996,0
156,20080917,629.5,Exit,8,-9041466.749999996,0
157,20080923,1.08755,Entry,0,-9946308.349999996,832000
158,20081001,195.095,Exit,4,-8385548.349999996,0
159,20081002,1063.6,Entry,1,-8651448.349999996,250
160,20081006,1016.9000000000001,Exit,1,-8397223.349999996,0
161,20081008,1092.6,Entry,1,-8670373.349999996,250
162,20081017,974.5,Exit,1,-8426748.349999996,0
163,20090105,1065.8000000000002,Entry,1,-9226098.349999996,750
164,20090116,999.2,Exit,1,-8476698.349999996,0
165,20090122,1036.5500000000002,Entry,1,-8994973.349999996,500
166,20090507,19.08,Entry,7,-9686623.349999996,36250
167,20090512,623.875,Entry,8,-9998560.849999996,500
168,20090602,75.3125,Exit,6,-8963013.974999996,0
169,20090701,1.70995,Entry,5,-10026602.874999996,622000
170,20090709,1.6635499999999999,Exit,5,-8991874.774999997,0
171,20090720,1.70425,Entry,5,-10229160.274999997,726000
172,20090827,82.32815,Entry,6,-11031859.737499997,9750
173,20090831,1392.85,Entry,9,-12076497.237499997,750
174,20090902,1361.65,Exit,9,-11055259.737499997,0
175,20090904,1405.9,Entry,9,-12109684.737499997,750
176,20090928,1.6464500000000002,Exit,5,-10914362.037499998,0
177,20091005,550.0,Exit,8,-10639362.037499998,0
178,20091013,673.375,Entry,8,-10976049.537499998,500
179,20091015,20.950000000000003,Entry,3,-11175074.537499998,9500
180,20091104,1.71115,Entry,5,-12650085.837499999,862000
181,20091221,1.6616,Exit,5,-11217786.6375,0
182,20091229,77.54685,Exit,6,-10461704.85,0
183,20100202,569.0,Exit,8,-10177204.85,0
184,20100205,82.1953,Entry,6,-11348487.875,14250
185,20100219,78.97659999999999,Exit,6,-10223071.325,0
186,20100301,82.0703,Entry,6,-11454125.825,15000
187,20100319,20.174999999999997,Exit,7,-10722782.075,0
188,20100405,78.77345,Exit,6,-9541180.325,0
