,date,close_balance,open_profit,equity
0,20000601,2000000.0,0.0,2000000.0
1,20000602,2000000.0,0.0,2000000.0
2,20000605,2000000.0,0.0,2000000.0
3,20000606,2000000.0,0.0,2000000.0
4,20000607,2000000.0,0.0,2000000.0
5,20000608,2000000.0,0.0,2000000.0
6,20000609,2000000.0,0.0,2000000.0
7,20000612,2000000.0,0.0,2000000.0
8,20000613,2000000.0,0.0,2000000.0
9,20000614,2000000.0,0.0,2000000.0
10,20000615,2000000.0,0.0,2000000.0
11,20000616,2000000.0,0.0,2000000.0
12,20000619,2000000.0,0.0,2000000.0
13,20000620,2000000.0,0.0,2000000.0
14,20000621,2000000.0,0.0,2000000.0
15,20000622,2000000.0,0.0,2000000.0
16,20000623,2000000.0,0.0,2000000.0
17,20000626,2000000.0,0.0,2000000.0
18,20000627,2000000.0,0.0,2000000.0
19,20000628,2000000.0,0.0,2000000.0
20,20000629,2000000.0,0.0,2000000.0
21,20000630,2000000.0,0.0,2000000.0
22,20000703,2000000.0,0.0,2000000.0
23,20000705,2000000.0,0.0,2000000.0
24,20000706,2000000.0,0.0,2000000.0
25,20000707,2000000.0,0.0,2000000.0
26,20000710,2000000.0,0.0,2000000.0
27,20000711,2000000.0,0.0,2000000.0
28,20000712,2000000.0,0.0,2000000.0
29,20000713,2000000.0,0.0,2000000.0
30,20000714,2000000.0,0.0,2000000.0
31,20000717,2000000.0,0.0,2000000.0
32,20000718,2000000.0,0.0,2000000.0
33,20000719,2000000.0,0.0,2000000.0
34,20000720,2000000.0,0.0,2000000.0
35,20000721,2000000.0,0.0,2000000.0
36,20000724,2000000.0,0.0,2000000.0
37,20000725,2000000.0,0.0,2000000.0
38,20000726,2000000.0,0.0,2000000.0
39,20000727,2000000.0,0.0,2000000.0
40,20000728,2000000.0,0.0,2000000.0
41,20000731,2000000.0,0.0,2000000.0
42,20000801,2000000.0,0.0,2000000.0
43,20000802,2000000.0,0.0,2000000.0
44,20000803,2000000.0,0.0,2000000.0
45,20000804,2000000.0,0.0,2000000.0
46,20000807,2000000.0,0.0,2000000.0
47,20000808,2000000.0,0.0,2000000.0
48,20000809,2000000.0,0.0,2000000.0
49,20000810,2000000.0,0.0,2000000.0
50,20000811,2000000.0,0.0,2000000.0
51,20000814,2000000.0,0.0,2000000.0
52,20000815,2000000.0,-4750.0,1995250.0
53,20000816,2000000.0,-8050.0,1991950.0
54,20000817,2000000.0,4050.0,2004050.0
55,20000818,2000000.0,1250.0,2001250.0
56,20000821,2000000.0,7250.0,2007250.0
57,20000822,2000000.0,7950.0,2007950.0
58,20000823,2000000.0,10650.0,2010650.0
59,20000824,2000000.0,15650.0,2015650.0
60,20000825,2000000.0,14050.0,2014050.0
61,20000828,2000000.0,19250.0,2019250.0
62,20000829,2000000.0,18750.0,2018750.0
63,20000830,2000000.0,4050.0,2004050.0
64,20000831,2000000.0,21650.0,2021650.0
65,20000901,2000000.0,23750.0,2023750.0
66,20000905,2000000.0,12750.0,2012750.0
67,20000906,2000000.0,-5550.0,1994450.0
68,20000907,2000000.0,6850.0,2006850.0
69,20000908,2000000.0,-2950.0,1997050.0
70,20000911,2000000.0,-7750.0,1992250.0
71,20000912,2000000.0,-17750.0,1982250.0
72,20000913,2000000.0,-14250.0,1985750.0
73,20000914,2000000.0,-18950.0,1981050.0
74,20000915,2000000.0,-38250.0,1961750.0
75,20000918,2000000.0,-54450.0,1945550.0
76,20000919,2000000.0,-43250.0,1956750.0
77,20000920,2000000.0,-52750.0,1947250.0
78,20000921,2000000.0,-52250.0,1947750.0
79,20000922,1924050.0,0.0,1924050.0
80,20000925,1924050.0,0.0,1924050.0
81,20000926,1924050.0,0.0,1924050.0
82,20000927,1924050.0,0.0,1924050.0
83,20000928,1924050.0,0.0,1924050.0
84,20000929,1924050.0,0.0,1924050.0
85,20001002,1924050.0,0.0,1924050.0
86,20001003,1924050.0,0.0,1924050.0
87,20001004,1924050.0,0.0,1924050.0
88,20001005,1924050.0,0.0,1924050.0
89,20001006,1924050.0,0.0,1924050.0
90,20001009,1924050.0,0.0,1924050.0
91,20001010,1924050.0,0.0,1924050.0
92,20001011,1924050.0,0.0,1924050.0
93,20001012,1924050.0,0.0,1924050.0
94,20001013,1924050.0,0.0,1924050.0
95,20001016,1924050.0,0.0,1924050.0
96,20001017,1924050.0,0.0,1924050.0
97,20001018,1924050.0,0.0,1924050.0
98,20001019,1924050.0,0.0,1924050.0
99,20001020,1924050.0,0.0,1924050.0
100,20001023,1924050.0,0.0,1924050.0
101,20001024,1924050.0,0.0,1924050.0
102,20001025,1924050.0,0.0,1924050.0
103,20001026,1924050.0,0.0,1924050.0
104,20001027,1924050.0,0.0,1924050.0
105,20001030,1924050.0,0.0,1924050.0
106,20001031,1924050.0,0.0,1924050.0
107,20001101,1924050.0,0.0,1924050.0
108,20001102,1924050.0,0.0,1924050.0
109,20001103,1924050.0,0.0,1924050.0
110,20001106,1924050.0,0.0,1924050.0
111,20001107,1924050.0,0.0,1924050.0
112,20001108,1924050.0,0.0,1924050.0
113,20001109,1924050.0,0.0,1924050.0
114,20001110,1924050.0,0.0,1924050.0
115,20001113,1924050.0,0.0,1924050.0
116,20001114,1924050.0,0.0,1924050.0
117,20001115,1924050.0,0.0,1924050.0
118,20001116,1924050.0,0.0,1924050.0
119,20001117,1924050.0,0.0,1924050.0
120,20001120,1924050.0,0.0,1924050.0
121,20001121,1924050.0,0.0,1924050.0
122,20001122,1924050.0,0.0,1924050.0
123,20001124,1924050.0,0.0,1924050.0
124,20001127,1924050.0,0.0,1924050.0
