,date,close_balance,open_profit,equity,total_risk
0,20000601,5000000.0,0.0,5000000.0,0.0
1,20000602,5000000.0,0.0,5000000.0,0.0
2,20000605,5000000.0,0.0,5000000.0,0.0
3,20000606,5000000.0,0.0,5000000.0,0.0
4,20000607,5000000.0,0.0,5000000.0,0.0
5,20000608,5000000.0,0.0,5000000.0,0.0
6,20000609,5000000.0,0.0,5000000.0,0.0
7,20000612,5000000.0,0.0,5000000.0,0.0
8,20000613,5000000.0,0.0,5000000.0,0.0
9,20000614,5000000.0,0.0,5000000.0,0.0
10,20000615,5000000.0,0.0,5000000.0,0.0
11,20000616,5000000.0,0.0,5000000.0,0.0
12,20000619,5000000.0,0.0,5000000.0,0.0
13,20000620,5000000.0,0.0,5000000.0,0.0
14,20000621,5000000.0,0.0,5000000.0,0.0
15,20000622,5000000.0,0.0,5000000.0,0.0
16,20000623,5000000.0,0.0,5000000.0,0.0
17,20000626,5000000.0,0.0,5000000.0,0.0
18,20000627,5000000.0,0.0,5000000.0,0.0
19,20000628,5000000.0,0.0,5000000.0,0.0
20,20000629,5000000.0,0.0,5000000.0,0.0
21,20000630,5000000.0,0.0,5000000.0,0.0
22,20000703,5000000.0,0.0,5000000.0,0.0
23,20000704,5000000.0,0.0,5000000.0,0.0
24,20000705,5000000.0,0.0,5000000.0,0.0
25,20000706,5000000.0,0.0,5000000.0,0.0
26,20000707,5000000.0,0.0,5000000.0,0.0
27,20000710,5000000.0,0.0,5000000.0,0.0
28,20000711,5000000.0,0.0,5000000.0,0.0
29,20000712,5000000.0,0.0,5000000.0,0.0
30,20000713,5000000.0,0.0,5000000.0,0.0
31,20000714,5000000.0,0.0,5000000.0,0.0
32,20000717,5000000.0,0.0,5000000.0,0.0
33,20000718,5000000.0,0.0,5000000.0,0.0
34,20000719,5000000.0,0.0,5000000.0,0.0
35,20000720,5000000.0,0.0,5000000.0,0.0
36,20000721,5000000.0,0.0,5000000.0,0.0
37,20000724,5000000.0,0.0,5000000.0,0.0
38,20000725,5000000.0,0.0,5000000.0,0.0
39,20000726,5000000.0,0.0,5000000.0,0.0
40,20000727,5000000.0,0.0,5000000.0,0.0
41,20000728,5000000.0,0.0,5000000.0,0.0
42,20000731,5000000.0,0.0,5000000.0,0.0
43,20000801,5000000.0,0.0,5000000.0,0.0
44,20000802,5000000.0,0.0,5000000.0,0.0
45,20000803,5000000.0,0.0,5000000.0,0.0
46,20000804,5000000.0,0.0,5000000.0,0.0
47,20000807,5000000.0,0.0,5000000.0,0.0
48,20000808,5000000.0,0.0,5000000.0,0.0
49,20000809,5000000.0,0.0,5000000.0,0.0
50,20000810,5000000.0,0.0,5000000.0,0.0
51,20000811,5000000.0,0.0,5000000.0,0.0
52,20000814,5000000.0,-34558.35,4965441.65,277498.4999999996
53,20000815,5000000.0,-36211.89999999994,4963788.1,459136.6460789711
54,20000816,5000000.0,-84561.69999999978,4915438.3,423574.12113979884
55,20000817,5000000.0,-68063.50000000028,4931936.5,437994.850279849
56,20000818,5000000.0,-29323.70000000031,4970676.3,471862.98888816836
57,20000821,5000000.0,-32429.83500000097,4967570.164999999,533647.8579200874
58,20000822,5000000.0,45676.6649999985,5045676.664999998,703991.8747489721
59,20000823,5000000.0,150428.31499999858,5150428.314999999,911784.3084484752
60,20000824,5000000.0,41279.86499999883,5041279.864999998,858725.1442670759
61,20000825,5117390.0,-54733.585000001665,5062656.414999998,709906.4039625267
62,20000828,5117390.0,-118235.78500000079,4999154.214999999,752608.2578081958
63,20000829,4994388.1645,-20106.585000004008,4974281.579499996,810833.4714633374
64,20000830,4932064.8255,-1415.785000003434,4930649.040499996,874377.7956322172
65,20000831,4900627.5770000005,3840.214999999145,4904467.791999999,830021.8349658799
66,20000901,4844043.047,-20499.43500000233,4823543.611999998,761511.1945742711
67,20000904,4781996.1685,-20586.43500000235,4761409.733499997,761014.543678411
68,20000905,4705838.5515,30799.56499999953,4736638.1165,793923.2794574623
69,20000906,4607077.852,196940.36499999775,4804018.216999997,943551.370493931
